name,title,hitPoints
Arni,Ciconia ciconia,77
Gladys,Neophoca cinerea,86
Stella,Creagrus furcatus,81
Sada,Trichosurus vulpecula,81
Stefania,Aegypius tracheliotus,97
Lelia,Vulpes chama,91
Alexina,Phalacrocorax varius,96
Ebonee,Amphibolurus barbatus,99
Ferd,Lybius torquatus,79
Helen,Papilio canadensis,88
Ivy,Felis yagouaroundi,86
Lorianna,unavailable,98
Natalie,unavailable,82
Sarajane,Milvago chimachima,87
Aylmer,Bubalus arnee,80
Carrissa,Lama glama,96
Winna,Tapirus terrestris,86
Ardath,Plegadis ridgwayi,72
Alice,Passer domesticus,92
Siffre,Numida meleagris,79
Kim,Speothos vanaticus,84
Noland,Phalaropus lobatus,71
Blanca,Chauna torquata,93
Virginia,Agkistrodon piscivorus,98
Quillan,Stenella coeruleoalba,98
Shepherd,Ara chloroptera,79
Tori,Ammospermophilus nelsoni,87
Averyl,Ardea cinerea,99
Jermaine,Felis concolor,87
Jamil,Cygnus atratus,87
Yvette,Tadorna tadorna,77
Benedict,Aonyx cinerea,92
Alec,Cebus apella,88
Neysa,Castor canadensis,78
Zacharia,Chlidonias leucopterus,96
Rollo,Petaurus breviceps,72
Joellen,Phalacrocorax varius,96
Kassandra,Prionace glauca,71
Cheslie,Grus antigone,84
Charmane,Lasiodora parahybana,80
Gordan,Grus rubicundus,81
Armin,Ammospermophilus nelsoni,73
Fitzgerald,Geochelone radiata,91
Darsie,Hystrix cristata,99
Charley,unavailable,90
Natalie,Melanerpes erythrocephalus,90
Maisie,Colaptes campestroides,78
Mordecai,Pseudalopex gymnocercus,97
Lynsey,Paradoxurus hermaphroditus,91
Jerrilyn,Myrmecophaga tridactyla,96
Tiphany,Felis yagouaroundi,91
Cathie,Phalaropus fulicarius,83
Amandi,Cyrtodactylus louisiadensis,83
Yves,Loxodonta africana,98
Jessey,Papilio canadensis,76
Johann,Herpestes javanicus,89
Timmie,Cordylus giganteus,70
Candi,Tetracerus quadricornis,96
Paulette,Kobus vardonii vardoni,88
Aube,Vulpes chama,73
Ker,Ceryle rudis,93
Bernetta,Geococcyx californianus,81
Matthiew,Eudyptula minor,80
Colly,Sterna paradisaea,90
Manfred,Lamprotornis sp.,92
Elga,Nyctereutes procyonoides,72
Graham,Aquila chrysaetos,93
Breanne,Corvus albicollis,100
Kizzee,Lamprotornis nitens,81
Trix,Corvus brachyrhynchos,88
Kyrstin,Nesomimus trifasciatus,94
Lenora,Funambulus pennati,74
Reinhold,Naja sp.,91
Matthew,Erinaceus frontalis,95
Lura,Amblyrhynchus cristatus,72
Nickola,Redunca redunca,73
Osbert,Zosterops pallidus,76
Kylie,Haliaetus leucogaster,90
Storm,Axis axis,87
Syd,Dicrurus adsimilis,90
Hussein,Merops bullockoides,91
Mollee,Potorous tridactylus,79
Benjamin,Lemur catta,91
Charyl,Himantopus himantopus,80
Rockie,Libellula quadrimaculata,78
Rosabel,Choloepus hoffmani,70
Mechelle,Haematopus ater,100
